Symbol,start_date,end_date,n_change,n_gain,gain_ratio,relative_change,date_trailing_end,t,t_gain_sign,t_gain_sign_ratio,t_relative_change,t_harmonic_mean,t_rank_harmonic_mean
ASX,2020-01-02,2025-08-15,1005,493,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
ASTS,2020-01-02,2025-08-15,1005,421,0.42,,2025-06-20,40,0,0.0,0.0,0.0,32
ASMXF,2020-01-02,2025-08-15,1005,79,0.08,,2025-06-20,40,0,0.0,0.0,0.0,32
ASMVF,2020-01-02,2025-08-15,1005,47,0.05,,2025-06-20,40,0,0.0,0.0,0.0,32
ASML,2020-01-02,2025-08-15,1005,512,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
ASMIY,2020-01-02,2025-08-15,1005,497,0.49,,2025-06-20,40,0,0.0,0.0,0.0,32
ASLWX,2020-01-02,2025-08-15,1005,550,0.55,,2025-06-20,40,0,0.0,0.0,0.0,32
AVY,2020-01-02,2025-08-15,1005,514,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AVIR,2020-01-02,2025-08-15,795,379,0.48,,2025-06-20,40,0,0.0,0.0,0.0,32
AVGO,2020-01-02,2025-08-15,1005,529,0.53,,2025-06-20,40,0,0.0,0.0,0.0,32
AVB,2020-01-02,2025-08-15,1005,516,0.51,,2025-06-20,40,0,0.0,0.0,0.0,32
AUR,2020-01-02,2025-08-15,665,300,0.45,,2025-06-20,40,0,0.0,0.0,0.0,32
AUNA,2020-01-02,2025-08-15,0,0,,,2025-06-20,40,0,0.0,0.0,0.0,32
